Pignatta.et.al.MEGs	Pignatta.et.al.PEGs	Hornslien.et.al.MEGs	Hornslien.et.al.PEGs	Picard.et.al.MEGs	Picard.et.al.PEGs	Del_Toro.et.al.MEGs	Del_Toro.et.al.PEGs
AT3G28899		AT3G61740		AT5G59320		AT3G21320	
AT3G28917		AT3G62130		AT5G62210		AT2G17710	
AT3G29630		AT4G00220		AT5G67360		AT5G44530	
AT3G33528		AT4G00231		AT1G01610		AT1G35770	
AT3G43720		AT4G00540		AT1G02190		AT3G15530	
AT3G44720		AT4G00550		AT1G04580		AT3G12710	
AT3G45070		AT4G00570		AT1G05850		AT5G42530	
AT3G45080		AT4G00730		AT1G08830		AT2G35470	
AT3G47600		AT4G00780		AT1G11840		AT1G01800	
AT3G50060		AT4G01840		AT1G17620		AT1G20730	
AT3G50960		AT4G02700		AT1G17840		AT5G49800	
AT3G52480		AT4G03110		AT1G19700		AT5G44230	
AT3G52740		AT4G09580		AT1G24260		AT5G16030	
AT3G54100		AT4G09900		AT1G25510		AT5G66670	
AT3G54150		AT4G10640		AT1G27950		AT5G62350	
AT3G54880		AT4G11130		AT1G30220		AT2G10260	
AT3G55420		AT4G11320		AT1G45130		AT4G13160	
AT3G56060		AT4G12080		AT1G51355		AT2G13410	
AT3G60550		AT4G12590		AT1G51760		AT3G16370	
AT3G60690		AT4G12790		AT1G52030		AT3G30300	
AT3G61140		AT4G13345		AT1G52880		AT5G35480	
AT3G61420		AT4G13460		AT1G59930		AT4G23820	
AT3G61610		AT4G15380		AT1G61800		AT1G25510	
AT3TE64215		AT4G15900		AT1G62790		AT2G26520	
AT3TE66875		AT4G16760		AT1G65980		AT5G13400	
AT4G00220		AT4G17486		AT1G66200		AT2G21180	
AT4G00360		AT4G18400		AT1G72970		AT2G13463	
AT4G00540		AT4G18800		AT1G73080		AT4G17680	
AT4G00750		AT4G19120		AT1G76890		AT3G55710	
AT4G01060		AT4G20830		AT1G77960		AT5G37730	
AT4G01410		AT4G21430		AT1G78210		AT2G27500	
AT4G02910		AT4G21630		AT1G78570		AT1G22910	
AT4G03820		AT4G21760		AT2G01850		AT5G38190	
AT4G03945		AT4G24130		AT2G02000		AT1G49450	
AT4G04580		AT4G24740		AT2G02990		AT4G05340	
AT4G04670		AT4G25100		AT2G03510		AT2G21420	
AT4G07507		AT4G25280		AT2G04780		AT3G13277	
AT4G09460		AT4G25530		AT2G05790		AT5G26850	
AT4G11680		AT4G26140		AT2G17690		AT1G55440	
AT4G12450		AT4G26410		AT2G19570		AT1G26930	
AT4G12870		AT4G26640		AT2G22670		AT3G28540	
AT4G12900		AT4G29530		AT2G23130		AT5G10770	
AT4G15380		AT4G31060		AT2G25540		AT3G55420	
AT4G15530		AT4G31080		AT2G28900		AT3G05670	
AT4G16380		AT4G31180		AT2G29670		AT2G24970	
AT4G17483		AT4G31720		AT2G30490		AT2G40280	
AT4G17500		AT4G31770		AT2G32720		AT3G47560	
AT4G18150		AT4G32120		AT2G33770		AT1G74440	
AT4G18650		AT4G32500		AT2G35760		AT5G47150	
AT4G19120		AT4G32850		AT2G38540		AT3G26450	
AT4G19520		AT4G35050		AT2G39400		AT2G32560	
AT4G21215		AT4G35740		AT2G41990		AT4G15160	
AT4G23020		AT4G36220		AT2G42860		AT5G67488	
AT4G24150		AT4G36830		AT2G45470		AT2G21430	
AT4G24230		AT4G38960		AT2G47115		AT1G20795	
AT4G25530		AT4G39390		AT2G47485		AT3G18295	
AT4G26420		AT4G39690		AT3G03150		AT5G46780	
AT4G29570		AT4G39955		AT3G09390		AT3G20340	
AT4G30280		AT5G02630		AT3G11660		AT2G05915	
AT4G31060		AT5G02880		AT3G11690		AT5G66310	
AT4G31370		AT5G03240		AT3G16520		AT1G29660	
AT4G32000		AT5G03280		AT3G17820		AT3G47250	
AT4G32040		AT5G03370		AT3G18490		AT3G27999	
AT4G32810		AT5G04560		AT3G20210		AT4G00780	
AT4G33820		AT5G06500		AT3G20470		AT3G33528	
AT4G33945		AT5G06670		AT3G23060		AT3G14240	
AT4G34120		AT5G07130		AT3G23600		AT2G33845	
AT4G35840		AT5G07460		AT3G23820		AT1G78865	
AT4G36945		AT5G08360		AT3G26440		AT1G45010	
AT4G37290		AT5G09900		AT3G43720		AT5G49400	
AT4G37660		AT5G10950		AT3G45970		AT5G48650	
AT4G39955		AT5G11310		AT3G49270		AT5G35375	
AT5G01100		AT5G11460		AT3G51240		AT5G62890	
AT5G01170		AT5G12170		AT3G53420		AT5G03120	
AT5G01640		AT5G12840		AT3G60160		AT1G24010	
AT5G03210		AT5G14620		AT3G60900		AT1G65090	
AT5G03280		AT5G15470		AT4G09030		AT2G02780	
AT5G04340		AT5G18960		AT4G11402		AT4G36790	
AT5G07970		AT5G19600		AT4G12910		AT4G21620	
AT5G10190		AT5G20000		AT4G13840		AT3G52480	
AT5G11430		AT5G21150		AT4G14030		AT4G27240	
AT5G13270		AT5G22440		AT4G14440		AT2G20721	
AT5G13500		AT5G22920		AT4G16380		AT1G43970	
AT5G13960		AT5G23210		AT4G21570		AT3G24614	
AT5G17165		AT5G23340		AT4G21960		AT5G24580	
AT5G17320		AT5G24240		AT4G23400		AT5G35914	
AT5G18550		AT5G24460		AT4G25530		AT5G03380	
AT5G21100		AT5G24810		AT4G25960		AT4G15053	
AT5G23230		AT5G26650		AT4G26590		AT5G58520	
AT5G23260		AT5G27960		AT4G29680		AT1G35242	
AT5G23330		AT5G28530		AT4G30470		AT1G33600	
AT5G24390		AT5G35490		AT4G34050		AT1G75460	
AT5G24410		AT5G36210		AT4G36360		AT3G28200	
AT5G24655		AT5G37560		AT4G37520		AT3G19370	
AT5G24790		AT5G38140		AT4G39210		AT1G69080	
AT5G25930		AT5G40600		AT5G02190		AT4G17660	
AT5G26220		AT5G41260		AT5G04530		AT5G18720	
AT5G26610		AT5G41610		AT5G04750		AT1G05320	
AT5G35120		AT5G41850		AT5G05270		AT2G16960	
AT5G35375		AT5G42670		AT5G08640		AT5G53100	
AT5G35490		AT5G42690		AT5G11230		AT5G45670	
AT5G37000		AT5G43780		AT5G12170		AT5G18460	
AT5G37560		AT5G46230		AT5G14130		AT2G46150	
AT5G37600		AT5G46540		AT5G20830		AT1G70100	
AT5G38140		AT5G47620		AT5G21105		AT4G28570	
AT5G40360		AT5G47770		AT5G22460		AT4G32140	
AT5G40890		AT5G47790		AT5G23530		AT1G54020	
AT5G41830		AT5G48650		AT5G24420		AT5G28773	
AT5G42380		AT5G48970		AT5G35490		AT1G57980	
AT5G42930		AT5G49160		AT5G39190		AT1G58602	
AT5G43420		AT5G49810		AT5G47150		AT5G53900	
AT5G43740		AT5G49830		AT5G48880		AT4G03580	
AT5G43870		AT5G49890		AT5G49040		AT1G19740	
AT5G44005		AT5G49900		AT5G51550		AT5G44065	
AT5G44750		AT5G53150		AT5G51750		AT2G04110	
AT5G45980		AT5G54400		AT5G52810		AT3G56470	
AT5G46040		AT5G54530		AT5G55250		AT2G24280	
AT5G46080		AT5G54650		AT5G58500		AT5G03795	
AT5G48120		AT5G57900		AT5G59290		AT3G23930	
AT5G48545		AT5G58030		AT5G59845		AT3G61118	
AT5G52882		AT5G58550		AT5G64850		AT4G23670	
AT5G55700		AT5G62140		AT5G67600		AT4G02100	
AT5G57035		AT5G64400		AT5G67620		AT3G07620	
AT5G58190		AT5G65160				AT1G75190	
AT5G59920		AT5G65870				AT2G27389	
AT5G61600		AT5G66100				AT3G61340	
AT5G63225		AT5G66250				AT3G61160	
AT5G63510		AT5G66750				AT4G19380	
AT5G64260		AT5G66910				AT3G15940	
AT5G65110		AT5G66985				AT5G54630	
AT5G66600						AT2G10608	
AT5G66920						AT5G20700	
AT5G67620						AT5G60140	
						AT1G69520	
						AT1G07220	
						AT1G34580	
						AT1G64800	
						AT1G50290	
						AT1G48750	
						AT1G64610	
						AT1G20550	
						AT4G04145	
						AT2G47010	
						AT1G32920	
						AT3G05220	
						AT4G15390	
						AT2G24550	
						AT3G18773	
						AT4G17480	
						AT1G69523	
						AT5G22050	
						AT5G44020	
						AT4G37080	
						AT2G23360	
						AT3G02560	
						AT2G12462	
						AT3G19550	
						AT5G03110	
						AT5G11600	
						AT2G44230	
						AT5G54660	
						AT3G44175	
						AT2G26100	
						AT1G29670	
						AT5G19140	
						AT5G44360	
						AT1G66810	
						AT2G30240	
						AT4G00870	
						AT2G40140	
						AT3G24420	
						AT5G62620	
						AT4G01070	
						AT4G17460	
						AT4G37790	
						AT1G55650	
						AT2G26190	
						AT4G10920	
						AT3G16630	
						AT1G24170	
						AT2G39400	
						AT3G63210	
						AT4G17880	
						AT4G21960	
						AT5G27360	
						AT2G37970	
						AT1G23090	
						AT1G21460	
						AT5G23660	
						AT4G15920	
						AT3G14770	
						AT2G34150	
						AT5G45050	
						AT5G45340	
						AT1G78490	
						AT2G46960	
						AT4G37310	
						AT4G00360	
						AT2G45970	
						AT1G64900	
						AT3G21500	
						AT1G56450	
						AT4G03415	
						AT2G26250	
						AT1G04220	
						AT5G43760	
						AT1G07720	
						AT1G68530	
						AT1G17745	
						AT1G65060	
						AT3G49360	
						AT5G67030	
